"Comment","Designator","Footprint","JLCPCB Part #"
"Eurorack_Power_10pin_Unshrouded, HEADER 2x5 MALE PINS 0.100” 180deg 1-1002FBV0T","J10","Pins_2x05_2.54mm_TH_EurorackPower",""
"Davies, White Line, D-shaft shallow, White Line, Diameter: ?mm, D-shaft 3.5mm depth CP-BUA-6-0DX10.5W7","KNOB1, KNOB2, KNOB3, KNOB4","",""
"4.7uH_1.2A_40xx, 4.7uH, Isat>1.7A, Idc>1.2A, Rdc<=108mOhms, shielded NRS4018T4R7MDGJ","L1","L_Taiyo-Yuden_NR-40xx","C92936"
"PCB ","PCB2","",""
"Button_SPST_RGB_7mmCap, SPST button with RGB LED, 7mm diffused cap PB615303HL-7","PLAY_BUT1","Button_RgbLED_SPST_PB615303HL-7mm",""
"16mm_NoDet_10k, 10k Linear, 16mm pot, No Detent, D-shaft RV16AF-4A-15FW-B10k-3","POT_LENGTH1, POT_SAMP1, POT_START1","Pot_16mm_NoDet_RV16AF-4A",""
"16mm_CtrDet_10k, 10k Linear, 16mm pot, Center Detent, D-shaft RV16AF-4A-15FW-B10k-3C","POT_PITCH1","Pot_16mm_CtrDet_RV16AF-4A",""
"10k_0402, 10k, 1%, 1/16W, 0402 RC0402FR-0710KL","R1, R6, R7, R8, R10, R11, R14, R18, R22, R27, R30, R33, R40, R45, R158, R159, R162, R163","R0402","C60490"
"68Ω_0402, 68Ω, 1%, 1/16W, 0402 RC0402FR-0768RL","R2, R12, R19, R23, R28, R34, R41, R46, R81","R0402","C163455"
"2k_0603, 2k, 1%, 1/10W, 0603 RC0603FR-072KL","R3, R5, R13, R35, R64, R68","R0603","C105576"
"3k_0402, 3k, 1%, 1/16W, 0402 RC0402FR-073KL","R4","R0402","C137987"
"1k_0603, 1k, 1%, 1/10W, 0603 RC0603FR-071KL","R9, R63","R0603","C22548"
"47k_0603, 47k, 1%, 1/10W, 0603 RC0603FR-0747KL","R15, R16, R17, R20, R58, R59, R62","R0603","C105579"
"100k_0603, 100k, 1%, 1/10W, 0603 RC0603FR-07100KL","R21, R24, R25, R26, R32","R0603","C14675"
"20k_0603, 20k, 1%, 1/10W, 0603 RC0603FR-0720KL","R29","R0603","C105575"
"10k_0603, 10k, 1%, 1/10W, 0603 RC0603FR-0710KL","R36, R60, R73, R74","R0603","C98220"
"14k_0402, 14k, 1%, 1/16W, 0402 RC0402FR-0714KL","R42, R50","R0402","C327372"
"100k_0402, 100k, 1%, 1/16W, 0402 RC0402FR-07100KL","R43, R51, R66","R0402","C60491"
"1k_0402, 1k, 1%, 1/16W, 0402 RC0402FR-071KL","R44, R52, R54, R55, R152, R153","R0402","C106235"
"4.7k_0402, 4.7k, 1%, 1/16W, 0402 RC0402FR-074K7L","R47, R48","R0402","C105871"
"1M_0402, 1M, 1%, 1/16W, 0402 RC0402FR-071ML","R49, R53","R0402","C138033"
"33k_0603, 33k, 1%, 1/10W, 0603 RC0603FR-0733KL","R56, R57, R61, R77, R78, R79, R80","R0603","C126359"
"31.6k_0402, 31.6k, 1%, 1/16W, 0402 RC0402FR-0731K6L","R65","R0402","C276265"
"10.2k_0402, 10.2k, 1%, 1/16W, 0402 RC0402FR-0710K2L","R67","R0402","C138069"
"330Ω_0603, 330Ω, 1%, 1/10W, 0603 RC0603FR-07330RL","R70, R71, R75","R0603","C105881"
"24k_0402, 24k, 1%, 1/16W, 0402 RC0402FR-0724KL","R157, R160, R161, R164","R0402","C138026"
"microSDCon_Vert_TH_PJS008U-3000, MicroSD Card Conn Ver Dip Mnt PJS008U-3000-0","SD1","CardSlot_MicroSD_YamaichiPJS008U-3000",""
"TL072H, Dual Opamp TSSOP-8 TL072HIPWR","U1, U3, U5, U8, U10, U11, U12, U14","TSSOP-8_4.4x3mm_Pitch0.65mm","C4370341"
"STM32F746IE, ARM Cortex-M7, 64KB flash, 256KB RAM, 216MHz, UFBGA-176 STM32F746IE","U2","UFBGA-201_10x10mm_Layout15x15_P0.65mm",""
"SDRAM_IS42S16400J-6BLI-TR, DRAM 64M, 3.3V, SDRAM, 4Mx16, 166 Mhz, 54 ball BGA (8mmx8mm) RoHS, IT, T&R IS42S16400J-6BLI-TR","U4","BGA-54_8.0x8.0mm_P0.8",""
"NCP51460SN33, Precision 3.3V Ref 1% 18PPM 28Vmax 20mAmax NCP51460SN33T1G","U6","SOT23-3_PO132","C233715 "
"PCM3060PW, Interface - CODECs 24B 96/192kHz Asynchronous Stereo PCM3060PW","U9","TSSOP-28_4.4x9.7mm_P0.65mm",""
"AP62200WU-7, DC/DC Buck Converter 750kHz 18VinMax 2A Synchronous AP62200WU7","U13","TSOT-23-6","C1323282"
"NJM2068 Dual Opamp NJM2068V-TE1","U15, U16","TSSOP-8_4.4x3mm_Pitch0.65mm",""
"STS SD card w/adaptor, microSD Card, 16GB with STS Sample Pack. Includes SD adaptor Sample Pack 2.0","U18","",""
"AP2120N-5.0TRG1, LDO Voltage Regulator, 5v, 150mA AP2120N-5.0TRG1","V1","SOT23-3_PO132","C50754"
"AP7384-33, 3.3V Reg. Iout>20mA, Vin>15V AP7384-33SA-7","V2","SOT23-3_PO132",""
"16MHz_18pF_FA238, 16MHz 18pF 10ppm ESR:60ohms TSX-3225 16.0000MF18X-AC3","Y1","FA-238","C90906 (12pF)"
